name,threshold,Pairs,Mean_n_matches,Median_n_matches,n_matches<4 (%),Matching Precision (%),Inlier Ratio (%),AUC@3px (%),AUC@5px (%),AUC@10px (%)
StudentCNN,0.2,580,5.11,0.0,92.59,9.08,5.89,0.48,0.80,1.55
StudentCNN,0.1,580,117.38,0.0,69.66,26.50,23.42,4.77,7.59,11.96
StudentCNN,0.05,580,368.76,4.0,49.48,41.83,39.44,11.23,16.52,23.41
StudentCNN,0.02,580,746.18,168.0,27.24,49.71,53.77,19.34,25.76,34.34
StudentCNN,0.015,580,869.33,287.5,22.93,51.42,55.37,21.24,28.39,37.04
StudentCNN,0.01,580,1045.56,501.5,18.45,52.62,56.31,24.55,31.85,41.69
StudentCNN,0.005,580,1341.32,907.0,12.07,52.68,57.64,26.00,34.34,45.50
StudentCNN,0.001,580,1934.92,1798.0,1.55,50.17,56.74,31.43,39.50,51.72
StudentHybrid,0.2,580,0.28,0.0,98.62,2.46,0.98,0.00,0.10,0.28
StudentHybrid,0.1,580,31.21,0.0,81.03,15.17,11.83,2.49,4.07,6.71
StudentHybrid,0.05,580,169.09,5.0,48.10,30.99,31.34,9.16,13.77,20.27
StudentHybrid,0.02,580,483.61,122.5,18.10,39.74,44.86,16.52,24.25,36.17
StudentHybrid,0.015,580,602.58,212.5,12.93,41.08,45.54,19.54,27.96,40.52
StudentHybrid,0.01,580,782.84,378.5,6.21,40.06,45.99,22.14,30.28,44.13
StudentHybrid,0.005,580,1116.34,758.0,2.07,37.99,41.25,22.64,31.77,47.51
StudentHybrid,0.001,580,1960.14,1835.0,0.00,30.07,31.36,27.48,37.47,52.70